project_id,doc_name,doc_type,file_path,file_hash,extracted_text,extracted_data_json,consistency_score
SYN-PRJ-00001,Administrative_Sanction_Order_SYN-PRJ-00001.pdf,SANCTION_ORDER,/synthetic_docs/sanction_SYN-PRJ-00001.pdf,syn_hash_so_SYN-PRJ-0000,"SANCTION ORDER: Project SYN-PRJ-00001. Total administrative approval of INR 1,515,000.00 sanctioned under MPLADS.","{""sanction_amount"": 1515000.0, ""sanction_date"": ""2023-12-21"", ""agency"": ""State Bridge Construction Corporation""}",100.0
SYN-PRJ-00001,Form_GFR19A_Utilization_Certificate_SYN-PRJ-00001.pdf,UTILIZATION_CERTIFICATE,/synthetic_docs/uc_SYN-PRJ-00001.pdf,syn_hash_uc_SYN-PRJ-0000,"FORM GFR 19-A. Certified that out of Rs 1,515,000.00 sanctioned, Rs 1,513,000.00 has been properly utilized.","{""claimed_utilization"": 1513000.0, ""uc_certified"": true, ""consistency_gap"": 0.0}",98.0
SYN-PRJ-00002,Administrative_Sanction_Order_SYN-PRJ-00002.pdf,SANCTION_ORDER,/synthetic_docs/sanction_SYN-PRJ-00002.pdf,syn_hash_so_SYN-PRJ-0000,"SANCTION ORDER: Project SYN-PRJ-00002. Total administrative approval of INR 595,000.00 sanctioned under MPLADS.","{""sanction_amount"": 595000.0, ""sanction_date"": ""2024-09-28"", ""agency"": ""Zila Parishad Engineering Wing""}",100.0
SYN-PRJ-00002,Form_GFR19A_Utilization_Certificate_SYN-PRJ-00002.pdf,UTILIZATION_CERTIFICATE,/synthetic_docs/uc_SYN-PRJ-00002.pdf,syn_hash_uc_SYN-PRJ-0000,"FORM GFR 19-A. Certified that out of Rs 595,000.00 sanctioned, Rs 254,000.00 has been properly utilized.","{""claimed_utilization"": 254000.0, ""uc_certified"": true, ""consistency_gap"": 0.0}",98.0
SYN-PRJ-00003,Administrative_Sanction_Order_SYN-PRJ-00003.pdf,SANCTION_ORDER,/synthetic_docs/sanction_SYN-PRJ-00003.pdf,syn_hash_so_SYN-PRJ-0000,"SANCTION ORDER: Project SYN-PRJ-00003. Total administrative approval of INR 4,660,000.00 sanctioned under MPLADS.","{""sanction_amount"": 4660000.0, ""sanction_date"": ""2022-05-08"", ""agency"": ""Water Supply & Sanitation Board""}",100.0
SYN-PRJ-00003,Form_GFR19A_Utilization_Certificate_SYN-PRJ-00003.pdf,UTILIZATION_CERTIFICATE,/synthetic_docs/uc_SYN-PRJ-00003.pdf,syn_hash_uc_SYN-PRJ-0000,"FORM GFR 19-A. Certified that out of Rs 4,660,000.00 sanctioned, Rs 4,614,000.00 has been properly utilized.","{""claimed_utilization"": 4614000.0, ""uc_certified"": true, ""consistency_gap"": 0.0}",98.0
SYN-PRJ-00004,Administrative_Sanction_Order_SYN-PRJ-00004.pdf,SANCTION_ORDER,/synthetic_docs/sanction_SYN-PRJ-00004.pdf,syn_hash_so_SYN-PRJ-0000,"SANCTION ORDER: Project SYN-PRJ-00004. Total administrative approval of INR 830,000.00 sanctioned under MPLADS.","{""sanction_amount"": 830000.0, ""sanction_date"": ""2021-05-17"", ""agency"": ""Panchayati Raj Engineering Division""}",100.0
SYN-PRJ-00004,Form_GFR19A_Utilization_Certificate_SYN-PRJ-00004.pdf,UTILIZATION_CERTIFICATE,/synthetic_docs/uc_SYN-PRJ-00004.pdf,syn_hash_uc_SYN-PRJ-0000,"FORM GFR 19-A. Certified that out of Rs 830,000.00 sanctioned, Rs 868,000.00 has been properly utilized.","{""claimed_utilization"": 868000.0, ""uc_certified"": true, ""consistency_gap"": 0.0}",98.0
SYN-PRJ-00005,Administrative_Sanction_Order_SYN-PRJ-00005.pdf,SANCTION_ORDER,/synthetic_docs/sanction_SYN-PRJ-00005.pdf,syn_hash_so_SYN-PRJ-0000,"SANCTION ORDER: Project SYN-PRJ-00005. Total administrative approval of INR 1,500,000.00 sanctioned under MPLADS.","{""sanction_amount"": 1500000.0, ""sanction_date"": ""2021-04-06"", ""agency"": ""Rural Engineering Services (RES)""}",100.0
SYN-PRJ-00005,Form_GFR19A_Utilization_Certificate_SYN-PRJ-00005.pdf,UTILIZATION_CERTIFICATE,/synthetic_docs/uc_SYN-PRJ-00005.pdf,syn_hash_uc_SYN-PRJ-0000,"FORM GFR 19-A. Certified that out of Rs 1,500,000.00 sanctioned, Rs 2,025,000.00 has been properly utilized.","{""claimed_utilization"": 2025000.0000000002, ""uc_certified"": true, ""consistency_gap"": 825000.0000000002}",42.0
SYN-PRJ-00006,Administrative_Sanction_Order_SYN-PRJ-00006.pdf,SANCTION_ORDER,/synthetic_docs/sanction_SYN-PRJ-00006.pdf,syn_hash_so_SYN-PRJ-0000,"SANCTION ORDER: Project SYN-PRJ-00006. Total administrative approval of INR 3,490,000.00 sanctioned under MPLADS.","{""sanction_amount"": 3490000.0, ""sanction_date"": ""2022-01-21"", ""agency"": ""Water Supply & Sanitation Board""}",100.0
SYN-PRJ-00006,Form_GFR19A_Utilization_Certificate_SYN-PRJ-00006.pdf,UTILIZATION_CERTIFICATE,/synthetic_docs/uc_SYN-PRJ-00006.pdf,syn_hash_uc_SYN-PRJ-0000,"FORM GFR 19-A. Certified that out of Rs 3,490,000.00 sanctioned, Rs 3,213,000.00 has been properly utilized.","{""claimed_utilization"": 3213000.0, ""uc_certified"": true, ""consistency_gap"": 0.0}",98.0
