project_id,project_name,project_type,sector,state,district,constituency,block,village,latitude,longitude,sanction_amount,released_amount,expenditure_amount,start_date,expected_completion_date,actual_completion_date,reported_progress,observed_progress,observed_progress_status,status,agency,data_status,source_type,data_availability_status,anomaly_label,anomaly_category,created_at,updated_at,fused_risk_score,risk_tier
SYN-PRJ-00001,Construction of Cement Concrete Road with Paver Blocks at Village Rampur,ROAD,Rural Connectivity & Transport,Jharkhand,Deoghar,Deoghar Parliamentary Constituency,Deoghar Block-3,Village Rampur,23.669806,85.263308,1515000.0,1515000.0,1513000.0,2023-12-21,2024-07-13,2024-07-21,100.0,,NOT_AVAILABLE,COMPLETED,State Bridge Construction Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.640898,2026-09-19 15:04:49.640904,15.0,LOW
SYN-PRJ-00002,Erection of Multi-Purpose Community Hall at Village Rampur,BUILDING,Education & Community,Punjab,Bathinda,Bathinda Parliamentary Constituency,Bathinda Block-5,Village Rampur,31.224823,75.523964,595000.0,446000.0,254000.0,2024-09-28,2025-08-09,,62.6,,NOT_AVAILABLE,DELAYED,Zila Parishad Engineering Wing,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.640927,2026-09-19 15:04:49.640930,40.0,MEDIUM
SYN-PRJ-00003,Construction of Foot Overbridge for School Commuters at Village Sundarpur,BRIDGE,Bridges & Culverts,Ladakh,Kargil,Kargil Parliamentary Constituency,Kargil Block-1,Village Sundarpur,34.124502,77.549004,4660000.0,4660000.0,4614000.0,2022-05-08,2023-02-08,2023-03-25,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.640945,2026-09-19 15:04:49.640948,15.0,LOW
SYN-PRJ-00004,Upgradation of Rural Link Road with Side Drains at Village Sundarpur,ROAD,Rural Connectivity & Transport,West Bengal,Kolkata,Kolkata Parliamentary Constituency,Kolkata Block-5,Village Sundarpur,23.176306,87.947092,830000.0,755000.0,868000.0,2021-05-17,2021-09-20,,72.4,,NOT_AVAILABLE,DELAYED,Panchayati Raj Engineering Division,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,1,UNUSUAL_FINANCIAL_PATTERN,2026-09-19 15:04:49.640961,2026-09-19 15:04:49.640964,98.5,CRITICAL
SYN-PRJ-00005,Installation of Community Water Purification RO Plant at Village Mohanpur,WATER_TANK,Drinking Water & Sanitation,Punjab,Patiala,Patiala Parliamentary Constituency,Patiala Block-3,Village Mohanpur,31.090763,75.406307,1500000.0,500000.0,1200000.0,2021-04-06,2021-11-05,2021-11-07,100.0,,NOT_AVAILABLE,COMPLETED,Rural Engineering Services (RES),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,1,DOCUMENT_INCONSISTENCY,2026-09-19 15:04:49.640977,2026-09-19 15:04:49.640979,80.0,CRITICAL
SYN-PRJ-00006,Laying of Interlocking Tile Pavement in Resettlement Colony at Village Rampur,ROAD,Rural Connectivity & Transport,Arunachal Pradesh,West Kameng,West Kameng Parliamentary Constituency,West Kameng Block-5,Village Rampur,28.16239,94.671912,3490000.0,3490000.0,3213000.0,2022-01-21,2022-09-10,2022-10-12,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.640991,2026-09-19 15:04:49.640994,15.0,LOW
SYN-PRJ-00007,Erection of Multi-Purpose Community Hall at Village Adarsh Nagar,BUILDING,Education & Community,Uttarakhand,Nainital,Nainital Parliamentary Constituency,Nainital Block-3,Village Adarsh Nagar,30.095835,78.789706,1475000.0,1475000.0,1273000.0,2023-10-26,2024-11-19,2024-12-29,100.0,,NOT_AVAILABLE,COMPLETED,Municipal Engineering Corporation,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641005,2026-09-19 15:04:49.641007,15.0,LOW
SYN-PRJ-00008,Installation of Solar Dual-Pump Piped Drinking Water System at Village Gandhi Gram,WATER_TANK,Drinking Water & Sanitation,Mizoram,Lunglei,Lunglei Parliamentary Constituency,Lunglei Block-1,Village Gandhi Gram,22.95751,92.870125,495000.0,495000.0,477000.0,2021-05-06,2021-10-18,2021-11-20,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641018,2026-09-19 15:04:49.641021,15.0,LOW
SYN-PRJ-00009,Major Causeway Reconstruction across Seasonal Stream at Village Sundarpur,BRIDGE,Bridges & Culverts,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,Nagpur Block-5,Village Sundarpur,19.62996,75.75161,4880000.0,4880000.0,4375000.0,2021-03-15,2022-01-11,2022-01-11,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641031,2026-09-19 15:04:49.641034,15.0,LOW
SYN-PRJ-00010,Construction of Cement Concrete Road with Paver Blocks at Village Rampur,ROAD,Rural Connectivity & Transport,Andhra Pradesh,Anantapur,Anantapur Parliamentary Constituency,Anantapur Block-4,Village Rampur,15.803937,79.570524,2965000.0,2965000.0,2642000.0,2024-09-02,2025-01-30,2025-02-06,100.0,,NOT_AVAILABLE,COMPLETED,Water Supply & Sanitation Board,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641045,2026-09-19 15:04:49.641048,15.0,LOW
SYN-PRJ-00011,Laying of Interlocking Tile Pavement in Resettlement Colony at Village Kalyanpur,ROAD,Rural Connectivity & Transport,Ladakh,Kargil,Kargil Parliamentary Constituency,Kargil Block-2,Village Kalyanpur,34.328478,77.550007,3065000.0,2781000.0,2051000.0,2021-10-21,2022-10-06,,74.5,,NOT_AVAILABLE,DELAYED,Zila Parishad Engineering Wing,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641058,2026-09-19 15:04:49.641061,40.0,MEDIUM
SYN-PRJ-00012,Major Causeway Reconstruction across Seasonal Stream at Village Shivnagar,BRIDGE,Bridges & Culverts,Chandigarh,Chandigarh,Chandigarh Parliamentary Constituency,Chandigarh Block-1,Village Shivnagar,30.741403,76.60843,2680000.0,2379000.0,1722000.0,2024-01-23,2025-05-05,,73.1,,NOT_AVAILABLE,DELAYED,Panchayati Raj Engineering Division,SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641072,2026-09-19 15:04:49.641074,40.0,MEDIUM
SYN-PRJ-00013,Laying of Interlocking Tile Pavement in Resettlement Colony at Village Kalyanpur,ROAD,Rural Connectivity & Transport,Madhya Pradesh,Indore,Indore Parliamentary Constituency,Indore Block-5,Village Kalyanpur,22.908074,78.670211,2555000.0,2555000.0,2475000.0,2023-09-10,2024-05-19,2024-06-07,100.0,,NOT_AVAILABLE,COMPLETED,Public Works Department (PWD),SYNTHETIC,SYNTHETIC_TEST_DATA,SYNTHETIC,0,NORMAL,2026-09-19 15:04:49.641085,2026-09-19 15:04:49.641087,15.0,LOW
